Attr1,Attr2,Identity
0.72562,0.58284,Aussie
-0.11604,-1.05120,Aussie
-0.00296,-0.43770,Kiwi
-0.19122,0.14408,Kiwi
0.06996,-0.23752,Kiwi
-0.20851,0.96906,Aussie
-0.30223,-0.12833,Kiwi
-0.25103,-0.21713,Kiwi
-0.30375,0.18497,Kiwi
0.29250,-0.11976,Kiwi
0.91001,-0.15614,Aussie
-0.11258,0.31355,Kiwi
-0.94476,-0.12996,Aussie
0.03207,-0.33707,Kiwi
-0.70323,-0.81534,Aussie
-1.03551,-0.08297,Aussie
0.14816,-0.33074,Kiwi
-0.26800,0.17325,Kiwi
-0.74698,-0.58691,Aussie
0.74361,0.51774,Aussie
0.19209,0.29864,Kiwi
-0.68310,-0.59438,Aussie
0.06715,0.32857,Kiwi
0.20778,-0.31249,Kiwi
-0.71181,0.77276,Aussie
0.35489,-0.07556,Kiwi
-0.27681,-0.11922,Kiwi
0.21924,0.29893,Kiwi
0.23468,-0.28873,Kiwi
0.18297,0.24818,Kiwi
0.41178,-0.95270,Aussie
-0.26187,-0.24160,Kiwi
0.99464,-0.31582,Aussie
0.33697,0.16278,Kiwi
0.38075,-0.11550,Kiwi
0.92545,0.37058,Aussie
0.19834,-0.90433,Aussie
-0.17136,0.27852,Kiwi
-0.14476,0.95433,Aussie
0.83210,-0.52129,Aussie
-0.28766,0.93940,Aussie
0.04951,0.32565,Kiwi
-0.23143,-0.96501,Aussie
0.22178,0.23480,Kiwi
0.86208,-0.40964,Aussie
0.76680,0.65886,Aussie
0.46622,0.99655,Aussie
0.26852,-0.27586,Kiwi
0.09869,-0.23599,Kiwi
0.85611,0.51545,Aussie
0.99585,0.30685,Aussie
-0.95912,0.11238,Aussie
-0.44001,-0.87815,Aussie
-0.15827,0.25919,Kiwi
-1.02188,-0.20207,Aussie
0.31348,-0.06077,Kiwi
0.05704,-1.01946,Aussie
-0.50400,0.91506,Aussie
0.01074,1.01613,Aussie
-0.49957,0.81185,Aussie
0.86988,-0.49669,Aussie
-0.01754,-0.37891,Kiwi
0.70796,-0.70306,Aussie
-0.43588,-0.86260,Aussie
-1.01754,-0.15121,Aussie
-0.44623,0.92217,Aussie
-0.61101,0.67407,Aussie
0.08314,0.36680,Kiwi
0.09476,0.25904,Kiwi
0.14145,0.26104,Kiwi
0.67151,0.68245,Aussie
0.07233,-0.26347,Kiwi
-0.18460,0.34661,Kiwi
-0.02688,-0.24600,Kiwi
-0.38391,0.93066,Aussie
0.07819,-0.28197,Kiwi
-0.49404,0.84632,Aussie
0.27269,-0.06079,Kiwi
-0.98017,-0.26719,Aussie
-0.87144,0.48616,Aussie
0.22097,-0.11274,Kiwi
0.23233,0.18540,Kiwi
0.73473,-0.68220,Aussie
0.11733,0.30479,Kiwi
0.32863,0.04196,Kiwi
1.02683,0.03528,Aussie
-0.01313,-1.08516,Aussie
-0.02293,-1.04169,Aussie
0.29965,-0.98201,Aussie
-0.25628,-0.14722,Kiwi
0.09206,-0.29398,Kiwi
0.00869,-0.31025,Kiwi
0.08946,-0.92890,Aussie
0.75155,0.51449,Aussie
-0.35846,-0.95448,Aussie
-0.02291,-0.20317,Kiwi
-0.28170,0.07522,Kiwi
-0.56752,0.93931,Aussie
0.05654,-0.36479,Kiwi
0.19193,-0.20879,Kiwi
-0.28503,-0.11796,Kiwi
0.35614,0.19162,Kiwi
-0.26627,-0.94657,Aussie
-0.26476,0.18252,Kiwi
-0.24769,0.99275,Aussie
-0.02745,-0.31815,Kiwi
1.02979,0.22643,Aussie
-0.98850,-0.07610,Aussie
0.20512,0.01687,Kiwi
-0.17125,-0.21746,Kiwi
0.09768,0.15656,Kiwi
0.24712,-0.08695,Kiwi
-0.12114,0.23726,Kiwi
0.05200,-0.29355,Kiwi
0.27838,0.09270,Kiwi
0.26215,-0.22199,Kiwi
0.12171,0.24192,Kiwi
0.77794,-0.65782,Aussie
-1.01722,0.10901,Aussie
-0.76161,-0.64498,Aussie
0.35784,0.12927,Kiwi
0.29740,0.13987,Kiwi
0.01250,-0.35143,Kiwi
0.09180,1.04033,Aussie
0.11091,-0.99253,Aussie
-0.61967,0.79273,Aussie
-0.25201,0.14051,Kiwi
-1.04794,0.04865,Aussie
0.93539,0.27202,Aussie
0.20531,0.11793,Kiwi
-0.20872,-0.21876,Kiwi
0.96330,-0.17734,Aussie
0.01756,0.27800,Kiwi
0.69046,-0.64559,Aussie
0.89976,-0.33971,Aussie
0.27630,1.02133,Aussie
0.17713,-1.01138,Aussie
-0.01125,-0.97693,Aussie
-0.41688,0.00734,Kiwi
-0.07812,0.30832,Kiwi
-0.62692,0.64169,Aussie
-0.28483,0.05558,Kiwi
0.07306,-0.31345,Kiwi
-0.16766,-1.00350,Aussie
-0.28810,-0.25358,Kiwi
0.01767,0.27612,Kiwi
-0.13699,0.19509,Kiwi
0.34452,-0.04695,Kiwi
-0.11379,-0.32099,Kiwi
-0.60917,-0.83105,Aussie
0.25316,0.13752,Kiwi
-1.07433,0.16563,Aussie
0.36866,-0.10670,Kiwi
-0.01182,0.95399,Aussie
